Year,Age_Group,NumVisits,Age_adjusted_rate,countyfips,County,zip,Lat,Lng
2012,AllAges,141.0,72.0,6007,BUTTE,"95965
(39.53293198600045, -121.57174737999969)",39.53293198600045, -121.57174737999969
2012,Children (0-17),62.0,115.2,6007,BUTTE,"95965
(39.53293198600045, -121.57174737999969)",39.53293198600045, -121.57174737999969
2012,Adults (18+),79.0,56.9,6007,BUTTE,"95965
(39.53293198600045, -121.57174737999969)",39.53293198600045, -121.57174737999969
2012,AllAges,186.0,67.8,6007,BUTTE,"95966
(39.492592955000475, -121.50638980699972)",39.492592955000475, -121.50638980699972
2012,Children (0-17),58.0,85.6,6007,BUTTE,"95966
(39.492592955000475, -121.50638980699972)",39.492592955000475, -121.50638980699972
2012,Adults (18+),128.0,61.6,6007,BUTTE,"95966
(39.492592955000475, -121.50638980699972)",39.492592955000475, -121.50638980699972
2012,AllAges,13.0,94.5,6007,BUTTE,"95968
(39.435173707000445, -121.5494357769997)",39.435173707000445, -121.5494357769997
2012,AllAges,118.0,46.7,6007,BUTTE,"95969
(39.75946319200045, -121.60512571299972)",39.75946319200045, -121.60512571299972
2012,Children (0-17),23.0,51.2,6007,BUTTE,"95969
(39.75946319200045, -121.60512571299972)",39.75946319200045, -121.60512571299972
2012,Adults (18+),95.0,45.2,6007,BUTTE,"95969
(39.75946319200045, -121.60512571299972)",39.75946319200045, -121.60512571299972
2012,AllAges,24.0,39.6,6063,PLUMAS,"95971
(39.93766055800046, -120.9150475939997)",39.93766055800046, -120.9150475939997
2012,Adults (18+),17.0,32.7,6063,PLUMAS,"95971
(39.93766055800046, -120.9150475939997)",39.93766055800046, -120.9150475939997
2012,AllAges,66.0,19.3,6007,BUTTE,"95973
(39.775783033000494, -121.86377954499972)",39.775783033000494, -121.86377954499972
2012,Children (0-17),14.0,17.8,6007,BUTTE,"95973
(39.775783033000494, -121.86377954499972)",39.775783033000494, -121.86377954499972
2012,Adults (18+),52.0,19.8,6007,BUTTE,"95973
(39.775783033000494, -121.86377954499972)",39.775783033000494, -121.86377954499972
2012,AllAges,13.0,81.5,6115,YUBA,"95977
(39.19258336000047, -121.2740971229997)",39.19258336000047, -121.2740971229997
2012,AllAges,16.0,22.0,6011,COLUSA,"95987
(39.145283631000495, -122.17105833399972)",39.145283631000495, -122.17105833399972
2012,AllAges,45.0,53.2,6021,GLENN,"95988
(39.52239100200046, -122.19828848299971)",39.52239100200046, -122.19828848299971
2012,Children (0-17),16.0,66.9,6021,GLENN,"95988
(39.52239100200046, -122.19828848299971)",39.52239100200046, -122.19828848299971
2012,Adults (18+),29.0,48.5,6021,GLENN,"95988
(39.52239100200046, -122.19828848299971)",39.52239100200046, -122.19828848299971
2012,AllAges,139.0,35.2,6101,SUTTER,"95991
(39.12601353100047, -121.6225491839997)",39.12601353100047, -121.6225491839997
2012,Children (0-17),39.0,33.3,6101,SUTTER,"95991
(39.12601353100047, -121.6225491839997)",39.12601353100047, -121.6225491839997
2012,Adults (18+),100.0,35.9,6101,SUTTER,"95991
(39.12601353100047, -121.6225491839997)",39.12601353100047, -121.6225491839997
2012,AllAges,73.0,19.9,6101,SUTTER,"95993
(39.131331817000444, -121.65323795799969)",39.131331817000444, -121.65323795799969
2012,Children (0-17),21.0,22.5,6101,SUTTER,"95993
(39.131331817000444, -121.65323795799969)",39.131331817000444, -121.65323795799969
2012,Adults (18+),52.0,19.0,6101,SUTTER,"95993
(39.131331817000444, -121.65323795799969)",39.131331817000444, -121.65323795799969
2012,AllAges,220.0,68.5,6089,SHASTA,"96001
(40.5617510780005, -122.40067883999973)",40.5617510780005, -122.40067883999973
2012,Children (0-17),62.0,81.8,6089,SHASTA,"96001
(40.5617510780005, -122.40067883999973)",40.5617510780005, -122.40067883999973
2012,Adults (18+),158.0,63.9,6089,SHASTA,"96001
(40.5617510780005, -122.40067883999973)",40.5617510780005, -122.40067883999973
2012,AllAges,192.0,59.6,6089,SHASTA,"96002
(40.55049316900045, -122.33718961899973)",40.55049316900045, -122.33718961899973
2012,Children (0-17),69.0,85.3,6089,SHASTA,"96002
(40.55049316900045, -122.33718961899973)",40.55049316900045, -122.33718961899973
2012,Adults (18+),123.0,50.7,6089,SHASTA,"96002
(40.55049316900045, -122.33718961899973)",40.55049316900045, -122.33718961899973
2012,AllAges,184.0,45.2,6089,SHASTA,"96003
(40.61803193500049, -122.35252748899973)",40.61803193500049, -122.35252748899973
2012,Children (0-17),48.0,51.8,6089,SHASTA,"96003
(40.61803193500049, -122.35252748899973)",40.61803193500049, -122.35252748899973
2012,Adults (18+),136.0,42.9,6089,SHASTA,"96003
(40.61803193500049, -122.35252748899973)",40.61803193500049, -122.35252748899973
2012,AllAges,113.0,49.4,6089,SHASTA,"96007
(40.45696258000049, -122.31797600499971)",40.45696258000049, -122.31797600499971
2012,Children (0-17),24.0,44.4,6089,SHASTA,"96007
(40.45696258000049, -122.31797600499971)",40.45696258000049, -122.31797600499971
2012,Adults (18+),89.0,51.1,6089,SHASTA,"96007
(40.45696258000049, -122.31797600499971)",40.45696258000049, -122.31797600499971
2012,AllAges,14.0,38.1,6089,SHASTA,"96013
(40.89126326000047, -121.6560274519997)",40.89126326000047, -121.6560274519997
2012,AllAges,76.0,75.2,6089,SHASTA,"96019
(40.6746821160005, -122.3658666549997)",40.6746821160005, -122.3658666549997
2012,Children (0-17),25.0,105.6,6089,SHASTA,"96019
(40.6746821160005, -122.3658666549997)",40.6746821160005, -122.3658666549997
2012,Adults (18+),51.0,64.6,6089,SHASTA,"96019
(40.6746821160005, -122.3658666549997)",40.6746821160005, -122.3658666549997
